ID,Label,Waterway,Drainage_Type,Site,Aspect,Site_type,Direction,Source,Landscape_feature,Slope_in_Degrees,Rock_Formation,Elevation,Long,Lat,Distance
109,Sirgur,N/A,Intermittent,Sirgur,North East,Fortalice,South-east,178,Ridge,40,Berinag,1829,79.343242,30.155564,1460
110,Dhibri,Gogna Gad,Seasonal,Dhibri,West,Fortalice,South,58,Isolated hill,15,Berinag,1686,79.316686,29.964006,880
111,Dhar Garhi,Ramganga River,Perennial,Dhar Garhi,West,Fortalice,East,56,Ridge,15,Berinag,1388,79.317178,29.991664,267
112,Garhi_3,Khansar Gad,Perennial,Garhi_3,North East,Fortalice,East,68,Saddle,25,Berinag,1224,79.41795,29.977428,32
113,Kaunpur,Maroi Gad,Seasonal,Kaunpur,North west,Fortalice,West,114,Ridge,30,Berinag,2941,79.382758,30.046431,881
114,Lakhanpur,Ramganga River,Perennial,Lakhanpur,South West,Fortalice,South,128,Other,30,Nagthat,1111,79.321897,29.879494,1344
115,Lohba,Ramganga River,Perennial,Lohba,South,Fort,East,131,Ridge,35,Berinag,1837,79.338622,29.972828,928
116,Badhani,N/A,Seasonal,Badhani,South East,Fortalice,North-West,9,Isolated hill,30,Berinag,1196,79.211792,30.241683,170
117,Dasholi,Rata Gad,Seasonal,Dasholi,North East,Fort,South-west,50,Isolated hill,25,Berinag,1339,79.321478,30.282281,113
118,Nagpur,N/A,Intermittent,Nagpur,North west,Fort,South,147,Ridge,25,Berinag,2070,79.210633,30.326806,441
119,Chorda,N/A,Seasonal,Chorda,East,Fortalice,West,48,Isolated hill,25,Nagthat,1975,79.252208,30.107628,510
120,Chaunda,Karkandi Gad,Intermittent,Chaunda,North West,Fort,South,42,Isolated hill,25,Berinag,1568,79.221208,30.151,167
121,Chandpur,Ata Gad,Seasonal,Chandpur,South West,Fort,North-West,40,Isolated hill,30,Berinag,1266,79.214083,30.1753,191
122,Top,Ata Gad,Seasonal,Top,East,Fort,North,187,Other,15,Berinag,1322,79.227778,30.185286,500
123,Hiyani,Hiyuni Gad,Perennial,Hiyani,South,Fortalice,East,96,Ridge,30,"Damta, Simala, Chakrata, Saknidhar",1040,78.357222,30.180094,251
124,Pun,Hyuni River,Perennial,Pun,North,Fortalice,West,159,Saddle,45,"Damta, Simala, Chakrata, Saknidhar",1071,78.374317,30.190128,223
