x,y,area,mounded,volume,moud_vol,elev
594653.22,4057584.6,66225,3225,9885.75,10666.25,3.31
594663.94,4054040.9,39725,8250,38157.5,15920,1.93
594677.72,4056683.1,206150,2175,,6947.5,3.19
594680.63,4070086.4,70500,,11761.25, , 
594681.83,4066283.2,56775,,, , 
594699.95,4076443.3,19575,25,,74.6525,2.99
594706.98,4074660.8,106325,10225,40190,26560,2.6
594720.96,4112680.6,65050,4850,74115,13084.5,2.7
594734.95,4106513.3,7125,,, , 
594790.31,4116399.2,40525,16150,75480,49545,3.07
594871.19,4063925.2,35150,25,6152.25,56.2125,2.25
594901.14,4088570,171400,17450,68730,139370,7.99
594907.9,4067172.5,25875,,8465.5, , 
594933.55,4062002.2,26625,9925,27620,19710.25,1.99
594942.71,4071206.8,33675,2425,,7472.25,3.08
594960.47,4070276.2,61950,36000,213850,230885,6.42
594976.46,4075117.1,114200,10975,66672.5,36497.5,3.33
594980.35,4073913.4,83225,575,4084,1134.05,1.97
595006.82,4076776.6,82775,20050,119457.5,80222.5,4
595049.95,4075638.3,14225,3200,23327.25,7797.5,2.44
595057.31,4113190.9,136200,19975,583100,183090,9.17
595102.32,4112780.8,58675,575,75325,1862.95,3.24
595125.15,4110389.1,96200,22850,85872.5,44775,1.96
595165.4,4078117.5,137450,13450,,58665,4.36
595184.83,4097984.8,126950,50,63810,191.4,3.83
595187.51,4050995.9,67925,2975,49790,7865.5,2.64
595219.71,4064332,36475,,, , 
595226.13,4112267.6,181550,71250,426775,325150,4.57
595228.98,4069793.4,308150,103500,594750,611950,5.91
595229.95,4064748.3,21700,,2073.2, , 
595248.87,4058147.4,81475,9325,124657.5,42597.5,4.57
595255.04,4059566.4,33175,3950,16019.75,8228.75,2.08
595256.67,4071762,55900,425,21569.75,784.25,1.85
595265.5,4089390.1,26325,4425,42075,16121.25,3.64
595298.21,4117789.9,29450,875,47997.5,2966.25,3.39
595382.23,4077818.3,82400,4825,147245,28075,5.82
595392.13,4108187.1,75575,5100,35815,12497,2.45
595410.99,4117328.1,238875,57250,399050,253775,4.43
595428.13,4073230.2,64875,775,53222.5,2490.55,3.21
595431.17,4073003.8,27850,25,4498,52.7175,2.11
595442.1,4066692.2,27000,,1920.475, , 
595457.97,4062956.8,21650,2525,18944,5861.75,2.32
595484.95,4066738.3,33500,75,2611.25,103.6875,1.38
595484.95,4079373.3,7275,,326.125, , 
595508.67,4073654.5,105750,28000,132512.5,120295,4.28
